"","country","continent","year","GDP","relativePop"
"1","Afghanistan","Asia",1997,14121995875.3377,0.697004348364215
"2","Afghanistan","Asia",2002,18363410423.9786,0.792363311758388
"3","Albania","Europe",1997,10945912518.587,0.952094459610451
"4","Albania","Europe",2002,16153932129.8053,0.974445101447762
"5","Austria","Europe",1997,234800471832.038,0.984157263673929
"6","Austria","Europe",2002,264148781751.719,0.993722882666529
"7","Bahrain","Asia",1997,12146009861.8392,0.844741473355603
"8","Bahrain","Asia",2002,15362026094.1502,0.926364679433171
"9","Bangladesh","Asia",1997,119957417048.458,0.819652040159779
"10","Bangladesh","Asia",2002,154159077920.52,0.901683534040213
"11","Belgium","Europe",1997,281118335091.118,0.981482408100055
"12","Belgium","Europe",2002,314369518653.487,0.992277304207972
"13","Bosnia and Herzegovina","Europe",1997,17192245745.728,0.792364479752419
"14","Bosnia and Herzegovina","Europe",2002,25071535764.1344,0.915034012140948
"15","Bulgaria","Europe",1997,48157496050.3193,0.899029732417383
"16","Bulgaria","Europe",2002,58971163876.6273,0.853971786314648
"17","Cambodia","Asia",1997,8652054255.27354,0.833787177878521
"18","Cambodia","Asia",2002,11585251105.5606,0.914720980072118
"19","China","Asia",1997,2815929679840.2,0.932805617764588
"20","China","Asia",2002,3993927259238.4,0.970968691328398
"21","Croatia","Europe",1997,43893062449.3464,0.989003592112439
"22","Croatia","Europe",2002,52107043452.729,0.997108820112447
"23","Czech Republic","Europe",1997,165311042971.568,0.998546390735211
"24","Czech Republic","Europe",2002,180471922898.335,0.994241109330223
"25","Denmark","Europe",1997,157476118455.789,0.96626683393927
"26","Denmark","Europe",2002,172885062706.982,0.982914237434438
"27","France","Europe",1997,1517747939261.93,0.959719543848499
"28","France","Europe",2002,1733393500385.63,0.981028050002557
"29","Germany","Europe",1997,2278996207434.3,0.995267981954975
"30","Germany","Europe",2002,2473468447076.13,0.999389267090898
"31","Greece","Europe",1997,196895300009.988,0.980953439520133
"32","Greece","Europe",2002,238738073446.292,0.990433007138794
"33","Hong Kong, China","Asia",1997,184338771740.4,0.930592348990289
"34","Hong Kong, China","Asia",2002,204287740003.136,0.968778920212732
"35","Hungary","Europe",1997,119993697078.531,0.956952081329892
"36","Hungary","Europe",2002,149676048403.31,0.941878476881352
"37","Iceland","Europe",1997,7609945738.99472,0.898191971013245
"38","Iceland","Europe",2002,8975937060.5388,0.953959679529429
"39","India","Asia",1997,1399005926878,0.86365559145566
"40","India","Asia",2002,1806461015264.98,0.931354434563599
"41","Indonesia","Asia",1997,621614960294.634,0.891436700112281
"42","Indonesia","Asia",2002,606568050342.2,0.944141500445097
"43","Iran","Asia",1997,523316539155.054,0.911803194565808
"44","Iran","Asia",2002,618279294330.716,0.963346103015295
"45","Iraq","Asia",1997,63911044337.7009,0.755490054087257
"46","Iraq","Asia",2002,105385189030.639,0.872804798375891
"47","Ireland","Europe",1997,89927693739.3913,0.892469274188956
"48","Ireland","Europe",2002,132190156526.465,0.944043273857009
"49","Israel","Asia",1997,115587232694.216,0.86069134618362
"50","Israel","Asia",2002,132080421158.889,0.938202919423858
"51","Italy","Europe",1997,1418307303522.81,0.988507479732701
"52","Italy","Europe",2002,1620107994725.49,0.996203910477473
"53","Japan","Asia",1997,3629636158476.35,0.988142331157508
"54","Japan","Asia",2002,3634666526235.29,0.99684523889656
"55","Jordan","Asia",1997,16499844607.0714,0.747743381055255
"56","Jordan","Asia",2002,20406782659.6392,0.876805018442333
"57","Korea, Dem. Rep.","Asia",1997,36495163359.6555,0.926330775940408
"58","Korea, Dem. Rep.","Asia",2002,36583333391.1901,0.953378558883516
"59","Korea, Rep.","Asia",1997,738482217215.895,0.941462202203333
"60","Korea, Rep.","Asia",2002,922638064104.647,0.978068210711066
"61","Kuwait","Asia",1997,71144497943.2862,0.704571315223469
"62","Kuwait","Asia",2002,74137129817.5353,0.842750460076973
"63","Lebanon","Asia",1997,30032922931.4738,0.874813772448676
"64","Lebanon","Asia",2002,34254617950.1974,0.937903408021568
"65","Malaysia","Asia",1997,207482379883.417,0.824940778652645
"66","Malaysia","Asia",2002,231314259623.228,0.91302138817465
"67","Mongolia","Asia",1997,4745744245.8363,0.868021141724078
"68","Mongolia","Asia",2002,5724837882.70358,0.930450881258901
"69","Montenegro","Europe",1997,4478413551.7982,0.961708065479083
"70","Montenegro","Europe",2002,4722688037.72486,1
"71","Myanmar","Asia",1997,17947864805,0.905487314386883
"72","Myanmar","Asia",2002,27860427491,0.954694110252548
"73","Nepal","Asia",1997,23251644296.9496,0.795836970651299
"74","Nepal","Asia",2002,27354068342.6902,0.895235796813969
"75","Netherlands","Europe",1997,471974656555.132,0.941695035663436
"76","Netherlands","Europe",2002,543738536478.117,0.972977282131928
"77","Norway","Europe",1997,181880081160.08,0.951975463739049
"78","Norway","Europe",2002,202668235988.123,0.980048298092925
"79","Oman","Asia",1997,44992304219.6694,0.712545520183644
"80","Oman","Asia",2002,53658268402.9439,0.846661218753676
"81","Pakistan","Asia",1997,277819863187.178,0.800876350560003
"82","Pakistan","Asia",2002,321029463168.042,0.906261976938384
"83","Philippines","Asia",1997,190273063890.606,0.823619043461407
"84","Philippines","Asia",2002,220013427319.714,0.911259993943386
"85","Poland","Europe",1997,392718270288.302,1
"86","Poland","Europe",2002,463598198650.342,0.999250264332205
"87","Portugal","Europe",1997,179169637551.457,0.954295922628142
"88","Portugal","Europe",2002,208373796584.833,0.980365289853193
"89","Romania","Europe",1997,165756170699.815,0.989710544274041
"90","Romania","Europe",2002,176666264621.071,0.982774508272504
"91","Saudi Arabia","Asia",1997,437050471341.364,0.769165239365273
"92","Saudi Arabia","Asia",2002,465885351158.005,0.887703208843088
"93","Serbia","Europe",1997,81807115768.4046,1
"94","Serbia","Europe",2002,73168001828.9263,0.978229289067559
"95","Singapore","Asia",1997,127451407551.469,0.835120027217166
"96","Singapore","Asia",2002,151216927293.59,0.921978410321614
"97","Slovak Republic","Europe",1997,65275620851.2565,0.988161179197364
"98","Slovak Republic","Europe",2002,73786500198.1752,0.993125289352808
"99","Slovenia","Europe",1997,34521489478.5482,1
"100","Slovenia","Europe",2002,41557566962.5819,0.999942831917885
"101","Spain","Europe",1997,814856426872.94,0.985345475648095
"102","Spain","Europe",2002,997206698031.168,0.992690056274705
"103","Sri Lanka","Asia",1997,49822140983.9893,0.917579531774065
"104","Sri Lanka","Asia",2002,59031417076.4342,0.960670988302767
"105","Sweden","Europe",1997,224812535648.329,0.985221160506907
"106","Sweden","Europe",2002,262730098132.633,0.991483528894857
"107","Switzerland","Europe",1997,231173833391.741,0.952228167484947
"108","Switzerland","Europe",2002,253840431788.296,0.974465565033295
"109","Syria","Asia",1997,60538802164.5556,0.780803186290765
"110","Syria","Asia",2002,70183154066.5244,0.888223594127327
"111","Taiwan","Asia",1997,437045349282.133,0.933301571128769
"112","Taiwan","Asia",2002,521733747819.826,0.968928719036705
"113","Thailand","Asia",1997,352425659154.813,0.92544014122793
"114","Thailand","Asia",2002,371388079010.646,0.96524565344559
"115","Turkey","Europe",1997,416204622976.16,0.886015258272125
"116","Turkey","Europe",2002,438052273010.69,0.945899491315511
"117","United Kingdom","Europe",1997,1533397976044.22,0.967619384404806
